open_time,open,high,low,close,volume
2025-07-25 02:00:00,117334.6,117359.4,116300.0,116300.0,19832.225
2025-07-25 03:00:00,116300.0,116393.0,115300.0,115384.6,26599.746
2025-07-25 04:00:00,115384.7,116100.0,115080.0,116043.6,18376.66
2025-07-25 05:00:00,116043.5,116045.1,115222.2,115481.2,10883.154
2025-07-25 06:00:00,115481.2,115481.8,115160.0,115255.3,6041.956
2025-07-25 07:00:00,115255.3,115927.8,114667.3,115288.8,23232.883
2025-07-25 08:00:00,115288.9,115956.8,115005.0,115194.6,18684.94
2025-07-25 09:00:00,115194.6,116051.0,115000.0,116025.3,10682.952
2025-07-25 10:00:00,116025.3,116485.0,115958.9,116277.5,8020.353
2025-07-25 11:00:00,116277.6,116759.6,116277.6,116504.6,7316.593
2025-07-25 12:00:00,116504.6,116629.0,115918.4,116079.6,10522.88
2025-07-25 13:00:00,116079.7,116578.2,115526.2,116195.5,13464.181
2025-07-25 14:00:00,116195.5,116267.9,114846.1,114934.4,14452.342
2025-07-25 15:00:00,114934.5,115824.5,114874.0,115687.4,9345.634
2025-07-25 16:00:00,115687.4,116160.7,115413.1,116143.4,6593.607
2025-07-25 17:00:00,116143.5,116317.7,115831.4,116002.0,5123.7
2025-07-25 18:00:00,116002.0,116540.0,116002.0,116456.0,3847.37
2025-07-25 19:00:00,116455.9,116989.9,116372.2,116649.6,6496.75
2025-07-25 20:00:00,116649.6,117300.0,116530.0,117011.2,8617.46
2025-07-25 21:00:00,117011.2,117359.3,116914.0,117183.3,5348.683
2025-07-25 22:00:00,117183.3,117333.0,117083.0,117250.0,2318.374
2025-07-25 23:00:00,117250.0,117615.3,117150.9,117583.5,3558.182
2025-07-26 00:00:00,117583.4,117585.1,117300.0,117473.2,3595.094
2025-07-26 01:00:00,117473.2,117538.3,117114.2,117143.8,2947.695
2025-07-26 02:00:00,117143.8,117740.6,117143.8,117443.8,3391.08
2025-07-26 03:00:00,117443.7,117580.0,117421.9,117455.8,1613.606
2025-07-26 04:00:00,117455.8,117515.3,117368.9,117469.0,1462.064
2025-07-26 05:00:00,117469.0,117515.9,117390.7,117415.1,1069.712
2025-07-26 06:00:00,117415.1,117430.4,117342.1,117342.2,331.649
